Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,700696,-,-,-,41.73,-96.86,-6,437,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,GHI,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2012,1,1,0,0,0.4,0,0,0,10.200000000000001,0.0000,0.0000
2012,1,1,0,30,0,0,0,0,10,0.0000,0.0000
2012,1,1,1,0,-0.4,0,0,0,9.9,0.0000,0.0000
2012,1,1,1,30,-0.7000000000000001,0,0,0,9.5,0.0000,0.0000
2012,1,1,2,0,-1.1,0,0,0,9.1,0.0000,0.0000
2012,1,1,2,30,-1.4000000000000001,0,0,0,8.5,0.0000,0.0000
2012,1,1,3,0,-1.8,0,0,0,8,0.0000,0.0000
2012,1,1,3,30,-2.1,0,0,0,7.5,0.0000,0.0000
2012,1,1,4,0,-2.5,0,0,0,7,0.0000,0.0000
2012,1,1,4,30,-2.9000000000000004,0,0,0,6.4,0.0000,0.0000
2012,1,1,5,0,-3.2,0,0,0,5.7,0.0000,0.0000
2012,1,1,5,30,-3.5,0,0,0,5.4,0.0000,0.0000
2012,1,1,6,0,-3.8000000000000003,0,0,0,5,0.0000,0.0000
2012,1,1,6,30,-3.9000000000000004,0,0,0,5,0.0000,0.0000
2012,1,1,7,0,-4.1000000000000005,0,0,0,5,0.0000,0.0000
2012,1,1,7,30,-3.7,0,0,0,5.2,0.0000,0.0000
2012,1,1,8,0,-3.4000000000000004,0,0,0,5.5,0.0000,0.0000
2012,1,1,8,30,-2.4000000000000004,24,500,66,5.800000000000001,0.0000,0.0000
2012,1,1,9,0,-1.4000000000000001,35,661,140,6.1000000000000005,0.0000,0.0000
2012,1,1,9,30,-0.1,43,761,214,7,10.3010,7.8872
2012,1,1,10,0,1.1,48,828,284,7.800000000000001,14.0786,10.8475
2012,1,1,10,30,1.9000000000000001,52,871,343,8.6,17.4837,13.5309
2012,1,1,11,0,2.7,55,900,392,9.4,20.4142,15.8447
2012,1,1,11,30,2.9000000000000004,58,931,433,9.8,22.8824,17.7921
2012,1,1,12,0,3.1,62,935,455,10.200000000000001,24.2528,18.8763
2012,1,1,12,30,3.1,62,939,463,10.4,24.7503,19.2696
2012,1,1,13,0,3.1,60,938,456,10.700000000000001,24.3134,18.9240
2012,1,1,13,30,2.9000000000000004,59,927,435,10.700000000000001,23.0060,17.8898
2012,1,1,14,0,2.6,59,920,405,10.700000000000001,21.1142,16.3902
2012,1,1,14,30,2.1,56,891,356,10.3,18.1759,14.0699
2012,1,1,15,0,1.6,52,848,295,9.9,14.6510,11.2923
2012,1,1,15,30,0.8,46,783,225,9,10.8476,8.3093
2012,1,1,16,0,0,38,683,149,8.200000000000001,0.0000,0.0000
2012,1,1,16,30,-0.9,26,518,72,7.5,0.0000,0.0000
2012,1,1,17,0,-1.8,0,0,0,6.800000000000001,0.0000,0.0000
2012,1,1,17,30,-2.2,0,0,0,6.6000000000000005,0.0000,0.0000
2012,1,1,18,0,-2.6,0,0,0,6.4,0.0000,0.0000
2012,1,1,18,30,-2.9000000000000004,0,0,0,6.2,0.0000,0.0000
2012,1,1,19,0,-3.2,0,0,0,6,0.0000,0.0000
2012,1,1,19,30,-3.4000000000000004,0,0,0,5.800000000000001,0.0000,0.0000
2012,1,1,20,0,-3.6,0,0,0,5.7,0.0000,0.0000
2012,1,1,20,30,-3.8000000000000003,0,0,0,5.7,0.0000,0.0000
2012,1,1,21,0,-4,0,0,0,5.7,0.0000,0.0000
2012,1,1,21,30,-4.2,0,0,0,5.7,0.0000,0.0000
2012,1,1,22,0,-4.4,0,0,0,5.7,0.0000,0.0000
2012,1,1,22,30,-4.6000000000000005,0,0,0,5.800000000000001,0.0000,0.0000
2012,1,1,23,0,-4.800000000000001,0,0,0,5.9,0.0000,0.0000
2012,1,1,23,30,-5,0,0,0,6,0.0000,0.0000
2012,1,2,0,0,-5.2,0,0,0,6,0.0000,0.0000
2012,1,2,0,30,-5.4,0,0,0,5.9,0.0000,0.0000
2012,1,2,1,0,-5.6000000000000005,0,0,0,5.800000000000001,0.0000,0.0000
2012,1,2,1,30,-5.800000000000001,0,0,0,5.7,0.0000,0.0000
2012,1,2,2,0,-5.9,0,0,0,5.6000000000000005,0.0000,0.0000
2012,1,2,2,30,-6,0,0,0,5.5,0.0000,0.0000
2012,1,2,3,0,-6.1000000000000005,0,0,0,5.4,0.0000,0.0000
2012,1,2,3,30,-6.1000000000000005,0,0,0,5.2,0.0000,0.0000
2012,1,2,4,0,-6.2,0,0,0,5.1000000000000005,0.0000,0.0000
2012,1,2,4,30,-6.2,0,0,0,5.1000000000000005,0.0000,0.0000
2012,1,2,5,0,-6.2,0,0,0,5.1000000000000005,0.0000,0.0000
2012,1,2,5,30,-6.2,0,0,0,5,0.0000,0.0000
2012,1,2,6,0,-6.2,0,0,0,5,0.0000,0.0000
2012,1,2,6,30,-6.2,0,0,0,4.9,0.0000,0.0000
2012,1,2,7,0,-6.2,0,0,0,4.800000000000001,0.0000,0.0000
2012,1,2,7,30,-5.9,0,0,0,4.800000000000001,0.0000,0.0000
2012,1,2,8,0,-5.7,0,0,0,4.800000000000001,0.0000,0.0000
2012,1,2,8,30,-4.9,22,553,69,5.4,0.0000,0.0000
2012,1,2,9,0,-4.1000000000000005,90,104,106,5.9,0.0000,0.0000
2012,1,2,9,30,-3.5,135,36,143,6.2,6.8838,5.2709
2012,1,2,10,0,-2.9000000000000004,43,871,291,6.5,14.4283,11.1173
2012,1,2,10,30,-2.5,47,913,353,6.5,17.9999,13.9312
2012,1,2,11,0,-2,49,941,402,6.5,20.9438,16.2565
2012,1,2,11,30,-1.7000000000000002,51,959,439,6.300000000000001,23.2103,18.0481
2012,1,2,12,0,-1.4000000000000001,56,963,463,6.1000000000000005,24.6921,19.2193
2012,1,2,12,30,-1.2000000000000002,57,966,471,5.9,25.1944,19.6169
2012,1,2,13,0,-1,56,964,465,5.7,24.8116,19.3134
2012,1,2,13,30,-1,55,938,436,5.4,23.0768,17.9465
2012,1,2,14,0,-1.1,53,921,401,5.2,20.9265,16.2466
2012,1,2,14,30,-1.3,51,893,353,4.800000000000001,18.0422,13.9686
2012,1,2,15,0,-1.5,45,857,293,4.4,14.5693,11.2316
2012,1,2,15,30,-2.3000000000000003,40,797,225,3.3000000000000003,10.8585,8.3198
2012,1,2,16,0,-3.1,33,710,149,2.2,0.0000,0.0000
2012,1,2,16,30,-4.1000000000000005,23,558,74,1.7000000000000002,0.0000,0.0000
2012,1,2,17,0,-5,0,0,0,1.1,0.0000,0.0000
2012,1,2,17,30,-5.1000000000000005,0,0,0,1,0.0000,0.0000
2012,1,2,18,0,-5.1000000000000005,0,0,0,0.9,0.0000,0.0000
2012,1,2,18,30,-5.1000000000000005,0,0,0,0.8,0.0000,0.0000
2012,1,2,19,0,-5,0,0,0,0.7000000000000001,0.0000,0.0000
2012,1,2,19,30,-5.1000000000000005,0,0,0,0.7000000000000001,0.0000,0.0000
2012,1,2,20,0,-5.2,0,0,0,0.7000000000000001,0.0000,0.0000
2012,1,2,20,30,-5.2,0,0,0,1,0.0000,0.0000
2012,1,2,21,0,-5.300000000000001,0,0,0,1.2000000000000002,0.0000,0.0000
2012,1,2,21,30,-5.2,0,0,0,1.6,0.0000,0.0000
2012,1,2,22,0,-5.2,0,0,0,2.1,0.0000,0.0000
2012,1,2,22,30,-5.2,0,0,0,2.5,0.0000,0.0000
2012,1,2,23,0,-5.300000000000001,0,0,0,2.8000000000000003,0.0000,0.0000
2012,1,2,23,30,-5.300000000000001,0,0,0,3.1,0.0000,0.0000
2012,1,3,0,0,-5.4,0,0,0,3.3000000000000003,0.0000,0.0000
2012,1,3,0,30,-5.5,0,0,0,3.4000000000000004,0.0000,0.0000
2012,1,3,1,0,-5.6000000000000005,0,0,0,3.6,0.0000,0.0000
2012,1,3,1,30,-5.6000000000000005,0,0,0,3.8000000000000003,0.0000,0.0000
2012,1,3,2,0,-5.7,0,0,0,4,0.0000,0.0000
2012,1,3,2,30,-5.800000000000001,0,0,0,4.2,0.0000,0.0000
2012,1,3,3,0,-5.9,0,0,0,4.3,0.0000,0.0000
2012,1,3,3,30,-6,0,0,0,4.5,0.0000,0.0000
2012,1,3,4,0,-6.1000000000000005,0,0,0,4.7,0.0000,0.0000
2012,1,3,4,30,-6.2,0,0,0,4.9,0.0000,0.0000
2012,1,3,5,0,-6.2,0,0,0,5.1000000000000005,0.0000,0.0000
2012,1,3,5,30,-6.2,0,0,0,5.300000000000001,0.0000,0.0000
2012,1,3,6,0,-6.2,0,0,0,5.5,0.0000,0.0000
2012,1,3,6,30,-6.2,0,0,0,5.6000000000000005,0.0000,0.0000
2012,1,3,7,0,-6.2,0,0,0,5.7,0.0000,0.0000
2012,1,3,7,30,-6,0,0,0,5.9,0.0000,0.0000
2012,1,3,8,0,-5.7,0,0,0,6,0.0000,0.0000
2012,1,3,8,30,-4.7,25,442,62,6.2,0.0000,0.0000
2012,1,3,9,0,-3.7,77,4,78,6.5,0.0000,0.0000
2012,1,3,9,30,-2,45,711,206,7,9.9179,7.5943
2012,1,3,10,0,-0.30000000000000004,53,770,273,7.6000000000000005,13.5396,10.4331
2012,1,3,10,30,1.2000000000000002,58,817,332,7.4,16.9352,13.1079
2012,1,3,11,0,2.7,228,73,256,7.2,13.3429,10.3573
2012,1,3,11,30,3.9000000000000004,182,359,327,6.800000000000001,17.2982,13.4517
2012,1,3,12,0,5,194,341,339,6.4,18.0898,14.0813
2012,1,3,12,30,5.7,230,218,324,5.9,17.3425,13.5042
2012,1,3,13,0,6.4,234,132,290,5.4,15.4853,12.0548
2012,1,3,13,30,6.6000000000000005,138,8,141,4.6000000000000005,7.4692,5.8093
2012,1,3,14,0,6.7,175,271,278,3.9000000000000004,14.5221,11.2758
2012,1,3,14,30,5.6000000000000005,206,66,228,3,11.6659,9.0333
2012,1,3,15,0,4.5,122,351,225,2.2,11.2016,8.6372
2012,1,3,15,30,3.4000000000000004,124,156,160,2.2,7.7289,5.9234
2012,1,3,16,0,2.3000000000000003,89,34,95,2.2,0.0000,0.0000
2012,1,3,16,30,1.7000000000000002,30,1,30,2.4000000000000004,0.0000,0.0000
2012,1,3,17,0,1.1,0,0,0,2.6,0.0000,0.0000
2012,1,3,17,30,1.1,0,0,0,2.9000000000000004,0.0000,0.0000
